Gender	AgeInYears	Education	Race	SES	MaritalStatus
Female	43	PHS	Black	Category 3	Single
Female	29	PHS	White	Category 2	Married
Female	29	NHS	Hispanic	Category 1	Married
Female	25	NHS	White	Category 2	Divorced
Female	33	NHS	Hispanic	Category 1	Married
Female	25	NHS	Hispanic	Category 1	Single
Female	27	NHS	White	Category 2	Single
Female	32	PHS	Hispanic	Category 3	Single
Female	22	HS	Other	Category 3	Single
Female	33	HS	Black	Category 2	Married
Female	26	PHS	Black	Category 4	Single
Female	40	PHS	White	Category 2	Married
Female	28	PHS	Other	Category 4	Married
Female	18	HS	White	Category 4	Single
Female	38	NHS	White	Category 2	Single
Female	35	PHS	White	Category 3	Single
Female	18	NHS	White	Category 2	Single
Female	22	PHS	White	Category 3	Single
Female	18	HS	White	Category 2	Single
Female	30	NHS	White	Category 3	Divorced
Female	41	HS	White	Category 2	Married
Female	41	NHS	White	Category 2	Divorced
Female	23	NHS	Hispanic	Category 1	Married
Female	22	PHS	Other	Category 4	Single
Female	23	NHS	White	Category 1	Married
Female	22	PHS	Other	Category 1	Single
Female	34	HS	Black	Category 1	Married
Female	19	PHS	White	Category 3	Single
Female	29	PHS	Other	Category 1	Single
Female	21	PHS	White	Category 2	Single
Female	22	HS	White	Category 2	Married
Female	38	PHS	White	Category 4	Married
Female	31	PHS	White	Category 2	Married
Female	31	PHS	White	Category 2	Married
Female	16	NHS	White	Category 2	Single
Female	28	HS	Black	Category 3	Single
Female	43	PHS	White	Category 2	Divorced
Female	40	HS	Black	Category 1	Divorced
Female	21	HS	Hispanic	Category 1	Single
Female	19	PHS	White	Category 4	Single
Female	20	NHS	White	Category 2	Married
Female	26	PHS	White	Category 3	Single
Female	19	HS	Black	Category 2	Single
Female	24	NHS	Hispanic	Category 1	Single
Female	29	HS	White	Category 3	Single
Female	29	HS	Other	Category 1	Married
Female	19	HS	White	Category 2	Single
Female	37	PHS	White	Category 4	Married
Female	16	NHS	White	Category 2	Single
Female	35	PHS	Other	Category 3	Married
Female	38	PHS	Black	Category 2	Single
Female	37	PHS	Hispanic	Category 1	Married
Female	26	HS	Black	Category 2	Single
Female	27	PHS	White	Category 2	Married
Female	39	HS	Black	Category 1	Married
Female	17	NHS	Hispanic	Category 3	Single
Female	34	NHS	White	Category 1	Single
Female	25	PHS	White	Category 4	Married
Female	42	PHS	White	Category 3	Single
Female	21	HS	White	Category 3	Divorced
Female	33	PHS	White	Category 2	Married
Female	21	PHS	White	Category 3	Single
Female	41	PHS	Black	Category 2	Married
Female	28	HS	Hispanic	Category 1	Married
Female	28	NHS	Hispanic	Category 2	Married
Female	35	NHS	Black	Category 2	Married
Female	39	PHS	Black	Category 3	Single
Female	32	PHS	Black	Category 4	Married
Female	20	PHS	Other	Category 3	Single
Female	38	PHS	White	Category 2	Single
Female	37	PHS	White	Category 2	Married
Female	31	HS	Hispanic	Category 1	Single
Female	37	PHS	White	Category 3	Divorced
Female	20	HS	Hispanic	Category 2	Single
Female	41	NHS	White	Category 2	Married
Female	32	PHS	Black	Category 2	Divorced
Female	31	PHS	White	Category 2	Married
Female	31	PHS	White	Category 3	Single
Female	42	PHS	White	Category 3	Married
Female	27	PHS	White	Category 3	Single
Female	26	PHS	White	Category 2	Married
Female	23	HS	Black	Category 1	Single
Female	20	PHS	White	Category 2	Single
Female	15	NHS	White	Category 1	Single
Female	44	PHS	White	Category 2	Married
Female	15	NHS	Black	Category 4	Single
Female	35	PHS	White	Category 4	Married
Female	38	PHS	Hispanic	Category 2	Married
Female	36	HS	Black	Category 2	Single
Female	15	NHS	Hispanic	Category 2	Single
Female	20	PHS	White	Category 3	Single
Female	18	HS	White	Category 3	Single
Female	30	PHS	Black	Category 2	Single
Female	21	PHS	White	Category 2	Single
Female	42	HS	White	Category 2	Divorced
Female	32	HS	Hispanic	Category 4	Single
Female	22	HS	White	Category 3	Single
Female	41	PHS	White	Category 4	Married
Female	28	PHS	White	Category 4	Divorced
Female	37	NHS	Hispanic	Category 1	Married
Female	29	PHS	White	Category 2	Married
Female	30	HS	Black	Category 1	Married
Female	24	NHS	White	Category 1	Married
Female	39	PHS	White	Category 3	Divorced
Female	36	PHS	Black	Category 2	Divorced
Female	40	PHS	White	Category 2	Single
Female	29	HS	Black	Category 2	Single
Female	32	HS	White	Category 2	Married
Female	21	HS	Black	Category 2	Married
Female	18	HS	White	Category 1	Single
Female	43	HS	Black	Category 1	Married
Female	19	PHS	White	Category 3	Single
Female	43	HS	White	Category 2	Married
Female	31	HS	Hispanic	Category 1	Single
Female	29	HS	Black	Category 2	Single
Female	33	HS	White	Category 1	Married
Female	18	HS	White	Category 4	Single
Female	35	HS	White	Category 2	Single
Female	21	PHS	White	Category 4	Married
Female	19	HS	White	Category 2	Single
Female	33	PHS	White	Category 1	Married
Female	20	PHS	White	Category 2	Single
Female	32	PHS	White	Category 2	Married
Female	41	PHS	White	Category 4	Single
Female	34	HS	Hispanic	Category 1	Married
Female	39	PHS	Other	Category 1	Married
Female	27	HS	White	Category 1	Married
Female	39	NHS	Black	Category 1	Single
Female	40	NHS	Black	Category 2	Married
Female	36	HS	Other	Category 2	Married
Female	25	HS	White	Category 2	Married
Female	40	PHS	White	Category 3	Single
Female	39	HS	Hispanic	Category 2	Single
Female	28	HS	White	Category 1	Married
Female	35	PHS	White	Category 4	Single
Female	36	HS	Hispanic	Category 1	Divorced
Female	44	HS	Black	Category 1	Divorced
Female	36	PHS	White	Category 3	Single
Female	31	PHS	White	Category 4	Divorced
Female	37	HS	White	Category 2	Married
Female	21	PHS	White	Category 4	Single
Female	43	PHS	Black	Category 1	Divorced
Female	19	HS	Black	Category 2	Single
Female	41	PHS	White	Category 3	Married
Female	37	NHS	White	Category 1	Married
Female	24	PHS	White	Category 2	Married
Female	40	PHS	Black	Category 2	Married
Female	22	PHS	White	Category 3	Married
Female	26	PHS	Black	Category 4	Single
Female	22	HS	Black	Category 2	Single
Female	35	HS	White	Category 2	Married
Female	38	PHS	White	Category 2	Married
Female	23	PHS	White	Category 3	Single
Female	37	HS	White	Category 2	Married
Female	34	PHS	Hispanic	Category 1	Married
Female	16	NHS	White	Category 3	Single
Female	24	HS	Black	Category 2	Married
Female	41	PHS	White	Category 2	Single
Female	28	PHS	White	Category 2	Single
Female	20	HS	Black	Category 2	Single
Female	30	PHS	White	Category 4	Divorced
Female	20	PHS	Black	Category 3	Single
Female	31	PHS	Other	Category 1	Married
Female	44	HS	White	Category 2	Married
Female	18	HS	Black	Category 3	Single
Female	30	PHS	White	Category 4	Divorced
Female	20	PHS	White	Category 3	Single
Female	41	PHS	White	Category 2	Divorced
Female	19	NHS	White	Category 2	Single
Female	38	PHS	White	Category 2	Married
Female	26	HS	Black	Category 3	Single
Female	41	PHS	White	Category 4	Married
Female	28	PHS	Other	Category 1	Single
Male	15	NHS	White	Category 2	Single
Male	29	PHS	Hispanic	Category 1	Married
Male	19	PHS	Black	Category 4	Single
Male	41	HS	White	Category 2	Single
Male	15	NHS	White	Category 4	Single
Male	17	NHS	Black	Category 4	Single
Male	24	NHS	White	Category 2	Married
Male	37	NHS	Hispanic	Category 1	Married
Male	19	NHS	Hispanic	Category 1	Single
Male	20	HS	White	Category 1	Single
Male	32	PHS	White	Category 4	Single
Male	39	PHS	Black	Category 3	Single
Male	34	PHS	White	Category 4	Married
Male	16	NHS	Black	Category 3	Single
Male	41	PHS	White	Category 2	Single
Male	40	PHS	White	Category 3	Married
Male	40	HS	White	Category 2	Divorced
Male	39	HS	Black	Category 1	Single
Male	18	NHS	Hispanic	Category 1	Single
Male	39	PHS	Black	Category 4	Married
Male	20	PHS	White	Category 4	Single
Male	33	NHS	Hispanic	Category 1	Single
Male	15	NHS	Hispanic	Category 4	Single
Male	36	PHS	Hispanic	Category 3	Single
Male	27	PHS	Hispanic	Category 2	Single
Male	33	NHS	White	Category 2	Married
Male	28	PHS	White	Category 4	Married
Male	21	PHS	White	Category 4	Single
Male	34	HS	Hispanic	Category 1	Married
Male	21	PHS	Hispanic	Category 4	Single
Male	29	HS	Hispanic	Category 1	Married
Male	24	PHS	Black	Category 2	Single
Male	18	NHS	White	Category 2	Single
Male	20	HS	White	Category 4	Single
Male	34	PHS	Hispanic	Category 4	Single
Male	32	PHS	White	Category 3	Married
Male	36	PHS	Black	Category 2	Single
Male	44	HS	Black	Category 1	Single
Male	35	PHS	White	Category 2	Single
Male	18	HS	White	Category 4	Single
Male	27	HS	White	Category 2	Single
Male	24	PHS	Hispanic	Category 1	Single
Male	20	HS	White	Category 4	Single
Male	41	NHS	White	Category 3	Divorced
Male	17	NHS	White	Category 3	Single
Male	44	PHS	White	Category 4	Married
Male	18	HS	White	Category 3	Single
Male	34	PHS	White	Category 3	Married
Male	41	HS	White	Category 2	Married
Male	43	HS	White	Category 2	Divorced
Male	20	PHS	White	Category 3	Single
Male	34	PHS	White	Category 1	Single
Male	31	PHS	White	Category 4	Single
Male	41	NHS	Hispanic	Category 1	Single
Male	15	NHS	Hispanic	Category 3	Single
Male	16	NHS	White	Category 2	Single
Male	32	HS	White	Category 2	Single
Male	20	HS	Black	Category 4	Single
Male	40	PHS	White	Category 2	Divorced
Male	25	HS	Black	Category 2	Married
Male	24	PHS	White	Category 4	Single
Male	17	NHS	White	Category 4	Single
Male	16	NHS	White	Category 4	Single
Male	38	PHS	Hispanic	Category 2	Single
Male	23	PHS	White	Category 3	Single
Male	20	NHS	Black	Category 1	Single
Male	29	PHS	Other	Category 4	Married
Male	37	NHS	Hispanic	Category 1	Married
Male	25	NHS	Other	Category 1	Single
Male	27	HS	Hispanic	Category 1	Married
Male	42	HS	White	Category 2	Married
Male	18	HS	White	Category 3	Single
Male	42	PHS	Black	Category 2	Divorced
Male	21	NHS	Other	Category 4	Single
Male	41	HS	Other	Category 1	Married
Male	22	PHS	White	Category 3	Single
Male	35	HS	White	Category 1	Divorced
Male	17	NHS	White	Category 4	Single
Male	20	HS	Hispanic	Category 1	Single
Male	34	PHS	Black	Category 3	Single
Male	32	PHS	White	Category 4	Single
Male	15	NHS	Hispanic	Category 1	Single
Male	21	NHS	Hispanic	Category 2	Single
Male	44	PHS	Black	Category 3	Married
Male	37	PHS	White	Category 1	Divorced
Male	35	PHS	Black	Category 2	Single
Male	18	NHS	White	Category 4	Single
Male	23	PHS	White	Category 2	Single
Male	15	NHS	Other	Category 3	Single
Male	16	NHS	White	Category 2	Single
Male	22	PHS	Hispanic	Category 1	Single
Male	18	HS	White	Category 4	Single
Male	33	PHS	Hispanic	Category 2	Single
Male	35	PHS	Black	Category 4	Single
Male	25	PHS	White	Category 3	Single
Male	39	PHS	Hispanic	Category 1	Divorced
Male	22	HS	White	Category 1	Married
Male	21	PHS	White	Category 3	Single
Male	18	HS	Black	Category 3	Single
Male	15	NHS	White	Category 3	Single
Male	32	PHS	White	Category 2	Single
Male	17	NHS	White	Category 1	Single
Male	16	NHS	White	Category 1	Single
Male	35	HS	Black	Category 4	Divorced
Male	26	HS	White	Category 2	Married
Male	42	NHS	Hispanic	Category 1	Married
Male	16	NHS	White	Category 4	Single
Male	35	HS	Other	Category 2	Married
Male	15	NHS	White	Category 2	Single
Male	19	HS	Black	Category 1	Single
Male	24	PHS	Black	Category 4	Single
Male	31	HS	Other	Category 3	Single
Male	23	HS	Black	Category 2	Single
Male	38	PHS	White	Category 2	Single
Male	24	PHS	Hispanic	Category 2	Single
Male	21	HS	Hispanic	Category 1	Married
Male	22	HS	Hispanic	Category 1	Single
Male	19	PHS	White	Category 4	Single
Male	19	HS	Hispanic	Category 1	Married
Male	26	PHS	White	Category 3	Divorced
Male	41	PHS	White	Category 3	Married
Male	19	NHS	Black	Category 2	Single
Male	41	PHS	White	Category 2	Married
Male	40	HS	White	Category 2	Single
Male	23	NHS	Black	Category 1	Single
Male	16	NHS	White	Category 2	Single
Male	32	PHS	Hispanic	Category 4	Single
Male	32	PHS	White	Category 2	Married
Male	27	PHS	Hispanic	Category 3	Single
Male	19	HS	White	Category 2	Single
Male	36	HS	Hispanic	Category 1	Married
Male	44	HS	Black	Category 1	Single
Male	23	PHS	Hispanic	Category 2	Single
Male	17	NHS	White	Category 4	Single
Male	41	HS	White	Category 3	Married
Male	18	HS	Black	Category 2	Single
Male	16	NHS	Black	Category 1	Single
Male	25	PHS	Black	Category 3	Married
Male	39	PHS	White	Category 2	Married
Male	44	HS	Black	Category 2	Single
Male	37	PHS	Hispanic	Category 3	Divorced
Male	24	PHS	Black	Category 3	Single
Male	21	NHS	Other	Category 1	Single
Male	41	NHS	White	Category 1	Divorced
Male	23	PHS	Other	Category 4	Single
Male	37	PHS	Hispanic	Category 2	Single
Male	29	PHS	White	Category 3	Single
Male	36	PHS	Other	Category 3	Married
Male	28	NHS	Hispanic	Category 1	Single
Male	39	PHS	Black	Category 2	Married
Male	18	HS	White	Category 4	Single
Male	21	PHS	White	Category 4	Single
Male	41	PHS	White	Category 4	Single
Male	18	HS	White	Category 2	Single
Male	20	PHS	White	Category 3	Single
Male	17	NHS	Black	Category 4	Single
Male	33	PHS	White	Category 2	Single
Male	36	PHS	White	Category 4	Married
Male	25	PHS	Other	Category 2	Single
Male	23	PHS	White	Category 4	Single
Male	25	PHS	White	Category 2	Single
Male	24	PHS	White	Category 1	Single
Male	22	PHS	White	Category 2	Single
Male	28	NHS	White	Category 2	Single
Male	18	HS	Hispanic	Category 1	Single
Male	22	PHS	White	Category 3	Married
Male	26	PHS	Other	Category 3	Single
Male	44	HS	Other	Category 1	Married
Male	30	PHS	Black	Category 3	Married
Male	20	PHS	Black	Category 4	Single
Male	15	NHS	Hispanic	Category 2	Single
Male	22	HS	White	Category 2	Single
Male	25	PHS	White	Category 4	Single
Male	43	PHS	Hispanic	Category 1	Married
Male	17	HS	Hispanic	Category 4	Single
Male	25	PHS	Black	Category 1	Single
Male	40	PHS	White	Category 4	Married
Male	39	PHS	White	Category 1	Single
Male	20	PHS	White	Category 1	Single
Male	18	HS	Hispanic	Category 4	Single
Male	29	HS	White	Category 2	Married
Male	15	NHS	White	Category 4	Single
Male	44	PHS	Black	Category 3	Divorced
Male	30	PHS	Other	Category 4	Married
Male	19	PHS	White	Category 4	Single
Male	41	HS	White	Category 4	Married
Male	43	PHS	White	Category 3	Married
Male	39	PHS	Black	Category 2	Married
Male	42	HS	White	Category 2	Single
Male	35	HS	White	Category 3	Single
Male	20	PHS	White	Category 4	Single
Male	17	NHS	Black	Category 4	Single
Male	36	HS	Black	Category 2	Married
Male	35	HS	Hispanic	Category 1	Single
Male	17	NHS	White	Category 2	Single
Male	39	NHS	White	Category 4	Married
Male	18	HS	Hispanic	Category 4	Single
Male	28	HS	Black	Category 2	Married
Male	24	PHS	White	Category 4	Single
Male	36	PHS	Black	Category 1	Single
Male	26	PHS	White	Category 1	Single
Male	38	HS	White	Category 4	Divorced
Male	29	PHS	White	Category 2	Single
Male	25	PHS	White	Category 4	Single
Male	20	HS	Black	Category 3	Single
Male	20	PHS	White	Category 4	Single
Male	16	NHS	White	Category 2	Single
Male	37	HS	Black	Category 4	Married
Male	22	NHS	Hispanic	Category 1	Married
Male	26	PHS	White	Category 2	Single
Male	37	HS	White	Category 3	Divorced
Male	36	HS	Black	Category 1	Single
Male	38	HS	White	Category 1	Married
Male	24	PHS	White	Category 4	Married
Male	25	HS	White	Category 1	Single
Male	30	PHS	Hispanic	Category 3	Married
Male	15	NHS	White	Category 4	Single
Male	42	PHS	White	Category 3	Single
Male	40	NHS	Black	Category 2	Single
Male	29	HS	White	Category 2	Single
Male	28	PHS	White	Category 2	Single
Male	24	NHS	Hispanic	Category 1	Married
Male	19	NHS	Other	Category 2	Single
Male	22	NHS	White	Category 1	Married
Male	18	HS	White	Category 4	Single
Male	33	HS	White	Category 1	Married
Male	30	NHS	White	Category 3	Single
Male	25	PHS	Hispanic	Category 3	Married
Male	40	HS	White	Category 1	Married
Male	15	NHS	White	Category 4	Single
Male	40	HS	White	Category 2	Married
Male	35	HS	White	Category 3	Single
Male	30	PHS	Hispanic	Category 4	Married
Male	40	HS	Black	Category 4	Single
Male	15	NHS	Black	Category 3	Single
Male	43	NHS	Hispanic	Category 1	Married
Male	19	PHS	White	Category 3	Single
Male	28	HS	Hispanic	Category 3	Single
Male	27	PHS	White	Category 4	Single
Male	21	PHS	White	Category 4	Single
Male	20	HS	White	Category 3	Single
Male	31	PHS	Black	Category 4	Single
Male	37	PHS	White	Category 2	Single
Male	19	HS	White	Category 3	Single
