Gender	AgeInYears	Education	SES	Race
Female	30	NHS	Category 1	Hispanic
Female	25	PHS	Category 2	White
Female	30	HS	Category 1	Black
Female	20	NHS	Category 1	White
Female	30	PHS	Category 3	White
Female	30	PHS	Category 2	Black
Female	30	PHS	Category 2	White
Female	25	HS	Category 2	Black
Female	30	HS	Category 2	White
Female	20	HS	Category 2	Black
Female	15	HS	Category 1	White
Female	30	HS	Category 1	Black
Female	15	PHS	Category 3	White
Female	30	HS	Category 2	White
Female	30	HS	Category 1	Hispanic
Female	25	HS	Category 2	Black
Female	30	HS	Category 1	White
Female	15	HS	Category 4	White
Female	30	HS	Category 2	White
Female	20	PHS	Category 4	White
Female	15	HS	Category 2	White
Female	30	PHS	Category 1	White
Female	20	PHS	Category 2	White
Female	30	PHS	Category 2	White
Female	30	PHS	Category 4	White
Female	30	HS	Category 1	Hispanic
Female	30	PHS	Category 1	Other
Female	25	HS	Category 1	White
Female	30	NHS	Category 1	Black
Female	30	NHS	Category 2	Black
Female	30	HS	Category 2	Other
Female	25	HS	Category 2	White
Female	30	PHS	Category 3	White
Female	30	HS	Category 2	Hispanic
Female	25	HS	Category 1	White
Female	30	PHS	Category 4	White
Female	30	HS	Category 1	Hispanic
Female	30	HS	Category 1	Black
Female	30	PHS	Category 3	White
Female	30	PHS	Category 4	White
Female	30	HS	Category 2	White
Female	20	PHS	Category 4	White
Female	30	PHS	Category 1	Black
Female	15	HS	Category 2	Black
Female	30	PHS	Category 3	White
Female	30	NHS	Category 1	White
Female	20	PHS	Category 2	White
Female	30	PHS	Category 2	Black
Female	20	PHS	Category 3	White
Female	25	PHS	Category 4	Black
Female	20	HS	Category 2	Black
Female	30	HS	Category 2	White
Female	30	PHS	Category 2	White
Female	20	PHS	Category 3	White
Female	30	HS	Category 2	White
Female	30	PHS	Category 1	Hispanic
Female	15	NHS	Category 3	White
Female	20	HS	Category 2	Black
Female	30	PHS	Category 2	White
Female	25	PHS	Category 2	White
Female	20	HS	Category 2	Black
Female	30	PHS	Category 4	White
Female	20	PHS	Category 3	Black
Female	30	PHS	Category 1	Other
Female	30	HS	Category 2	White
Female	15	HS	Category 3	Black
Female	30	PHS	Category 4	White
Female	20	PHS	Category 3	White
Female	30	PHS	Category 2	White
Female	15	NHS	Category 2	White
Female	30	PHS	Category 2	White
Female	25	HS	Category 3	Black
Female	30	PHS	Category 4	White
Female	25	PHS	Category 1	Other
Male	15	NHS	Category 2	White
Male	25	PHS	Category 1	Hispanic
Male	15	PHS	Category 4	Black
Male	30	HS	Category 2	White
Male	15	NHS	Category 4	White
Male	15	NHS	Category 4	Black
Male	20	NHS	Category 2	White
Male	30	NHS	Category 1	Hispanic
Male	15	NHS	Category 1	Hispanic
Male	20	HS	Category 1	White
Male	30	PHS	Category 4	White
Male	30	PHS	Category 3	Black
Male	30	PHS	Category 4	White
Male	15	NHS	Category 3	Black
Male	30	PHS	Category 2	White
Male	30	PHS	Category 3	White
Male	30	HS	Category 2	White
Male	30	HS	Category 1	Black
Male	15	NHS	Category 1	Hispanic
Male	30	PHS	Category 4	Black
Male	20	PHS	Category 4	White
Male	30	NHS	Category 1	Hispanic
Male	15	NHS	Category 4	Hispanic
Male	30	PHS	Category 3	Hispanic
Male	25	PHS	Category 2	Hispanic
Male	30	NHS	Category 2	White
Male	25	PHS	Category 4	White
Male	20	PHS	Category 4	White
Male	30	HS	Category 1	Hispanic
Male	20	PHS	Category 4	Hispanic
Male	25	HS	Category 1	Hispanic
Male	20	PHS	Category 2	Black
Male	15	NHS	Category 2	White
Male	20	HS	Category 4	White
Male	30	PHS	Category 4	Hispanic
Male	30	PHS	Category 3	White
Male	30	PHS	Category 2	Black
Male	30	HS	Category 1	Black
Male	30	PHS	Category 2	White
Male	15	HS	Category 4	White
Male	25	HS	Category 2	White
Male	20	PHS	Category 1	Hispanic
Male	20	HS	Category 4	White
Male	30	NHS	Category 3	White
Male	15	NHS	Category 3	White
Male	30	PHS	Category 4	White
Male	15	HS	Category 3	White
Male	30	PHS	Category 3	White
Male	30	HS	Category 2	White
Male	30	HS	Category 2	White
Male	20	PHS	Category 3	White
Male	30	PHS	Category 1	White
Male	30	PHS	Category 4	White
Male	30	NHS	Category 1	Hispanic
Male	15	NHS	Category 3	Hispanic
Male	15	NHS	Category 2	White
Male	30	HS	Category 2	White
Male	20	HS	Category 4	Black
Male	30	PHS	Category 2	White
Male	25	HS	Category 2	Black
Male	20	PHS	Category 4	White
Male	15	NHS	Category 4	White
Male	15	NHS	Category 4	White
Male	30	PHS	Category 2	Hispanic
Male	20	PHS	Category 3	White
Male	20	NHS	Category 1	Black
Male	25	PHS	Category 4	Other
Male	30	NHS	Category 1	Hispanic
Male	25	NHS	Category 1	Other
Male	25	HS	Category 1	Hispanic
Male	30	HS	Category 2	White
Male	15	HS	Category 3	White
Male	30	PHS	Category 2	Black
Male	20	NHS	Category 4	Other
Male	30	HS	Category 1	Other
Male	20	PHS	Category 3	White
Male	30	HS	Category 1	White
Male	15	NHS	Category 4	White
Male	20	HS	Category 1	Hispanic
Male	30	PHS	Category 3	Black
Male	30	PHS	Category 4	White
Male	15	NHS	Category 1	Hispanic
Male	20	NHS	Category 2	Hispanic
Male	30	PHS	Category 3	Black
Male	30	PHS	Category 1	White
Male	30	PHS	Category 2	Black
Male	15	NHS	Category 4	White
Male	20	PHS	Category 2	White
Male	15	NHS	Category 3	Other
Male	15	NHS	Category 2	White
Male	20	PHS	Category 1	Hispanic
Male	15	HS	Category 4	White
Male	30	PHS	Category 2	Hispanic
Male	30	PHS	Category 4	Black
Male	25	PHS	Category 3	White
Male	30	PHS	Category 1	Hispanic
Male	20	HS	Category 1	White
Male	20	PHS	Category 3	White
Male	15	HS	Category 3	Black
Male	15	NHS	Category 3	White
Male	30	PHS	Category 2	White
Male	15	NHS	Category 1	White
Male	15	NHS	Category 1	White
Male	30	HS	Category 4	Black
Male	25	HS	Category 2	White
Male	30	NHS	Category 1	Hispanic
Male	15	NHS	Category 4	White
Male	30	HS	Category 2	Other
Male	15	NHS	Category 2	White
Male	15	HS	Category 1	Black
Male	20	PHS	Category 4	Black
Male	30	HS	Category 3	Other
Male	20	HS	Category 2	Black
Male	30	PHS	Category 2	White
Male	20	PHS	Category 2	Hispanic
Male	20	HS	Category 1	Hispanic
Male	20	HS	Category 1	Hispanic
Male	15	PHS	Category 4	White
Male	15	HS	Category 1	Hispanic
Male	25	PHS	Category 3	White
Male	30	PHS	Category 3	White
Male	15	NHS	Category 2	Black
Male	30	PHS	Category 2	White
Male	30	HS	Category 2	White
Male	20	NHS	Category 1	Black
Male	15	NHS	Category 2	White
Male	30	PHS	Category 4	Hispanic
Male	30	PHS	Category 2	White
Male	25	PHS	Category 3	Hispanic
Male	15	HS	Category 2	White
Male	30	HS	Category 1	Hispanic
Male	30	HS	Category 1	Black
Male	20	PHS	Category 2	Hispanic
Male	15	NHS	Category 4	White
Male	30	HS	Category 3	White
Male	15	HS	Category 2	Black
Male	15	NHS	Category 1	Black
Male	25	PHS	Category 3	Black
Male	30	PHS	Category 2	White
Male	30	HS	Category 2	Black
Male	30	PHS	Category 3	Hispanic
Male	20	PHS	Category 3	Black
Male	20	NHS	Category 1	Other
Male	30	NHS	Category 1	White
Male	20	PHS	Category 4	Other
Male	30	PHS	Category 2	Hispanic
Male	25	PHS	Category 3	White
Male	30	PHS	Category 3	Other
Male	25	NHS	Category 1	Hispanic
Male	30	PHS	Category 2	Black
Male	15	HS	Category 4	White
Male	20	PHS	Category 4	White
Male	30	PHS	Category 4	White
Male	15	HS	Category 2	White
Male	20	PHS	Category 3	White
Male	15	NHS	Category 4	Black
Male	30	PHS	Category 2	White
Male	30	PHS	Category 4	White
Male	25	PHS	Category 2	Other
Male	20	PHS	Category 4	White
Male	25	PHS	Category 2	White
Male	20	PHS	Category 1	White
Male	20	PHS	Category 2	White
Male	25	NHS	Category 2	White
Male	15	HS	Category 1	Hispanic
Male	20	PHS	Category 3	White
Male	25	PHS	Category 3	Other
Male	30	HS	Category 1	Other
Male	30	PHS	Category 3	Black
Male	20	PHS	Category 4	Black
Male	15	NHS	Category 2	Hispanic
Male	20	HS	Category 2	White
Male	25	PHS	Category 4	White
Male	30	PHS	Category 1	Hispanic
Male	15	HS	Category 4	Hispanic
Male	25	PHS	Category 1	Black
Male	30	PHS	Category 4	White
Male	30	PHS	Category 1	White
Male	20	PHS	Category 1	White
Male	15	HS	Category 4	Hispanic
Male	25	HS	Category 2	White
Male	15	NHS	Category 4	White
Male	30	PHS	Category 3	Black
Male	30	PHS	Category 4	Other
Male	15	PHS	Category 4	White
Male	30	HS	Category 4	White
Male	30	PHS	Category 3	White
Male	30	PHS	Category 2	Black
Male	30	HS	Category 2	White
Male	30	HS	Category 3	White
Male	20	PHS	Category 4	White
Male	15	NHS	Category 4	Black
Male	30	HS	Category 2	Black
Male	30	HS	Category 1	Hispanic
Male	15	NHS	Category 2	White
Male	30	NHS	Category 4	White
Male	15	HS	Category 4	Hispanic
Male	25	HS	Category 2	Black
Male	20	PHS	Category 4	White
Male	30	PHS	Category 1	Black
Male	25	PHS	Category 1	White
Male	30	HS	Category 4	White
Male	25	PHS	Category 2	White
Male	25	PHS	Category 4	White
Male	20	HS	Category 3	Black
Male	20	PHS	Category 4	White
Male	15	NHS	Category 2	White
Male	30	HS	Category 4	Black
Male	20	NHS	Category 1	Hispanic
Male	25	PHS	Category 2	White
Male	30	HS	Category 3	White
Male	30	HS	Category 1	Black
Male	30	HS	Category 1	White
Male	20	PHS	Category 4	White
Male	25	HS	Category 1	White
Male	30	PHS	Category 3	Hispanic
Male	15	NHS	Category 4	White
Male	30	PHS	Category 3	White
Male	30	NHS	Category 2	Black
Male	25	HS	Category 2	White
Male	25	PHS	Category 2	White
Male	20	NHS	Category 1	Hispanic
Male	15	NHS	Category 2	Other
Male	20	NHS	Category 1	White
Male	15	HS	Category 4	White
Male	30	HS	Category 1	White
Male	30	NHS	Category 3	White
Male	25	PHS	Category 3	Hispanic
Male	30	HS	Category 1	White
Male	15	NHS	Category 4	White
Male	30	HS	Category 2	White
Male	30	HS	Category 3	White
Male	30	PHS	Category 4	Hispanic
Male	30	HS	Category 4	Black
Male	15	NHS	Category 3	Black
Male	30	NHS	Category 1	Hispanic
Male	15	PHS	Category 3	White
Male	25	HS	Category 3	Hispanic
Male	25	PHS	Category 4	White
Male	20	PHS	Category 4	White
Male	20	HS	Category 3	White
Male	30	PHS	Category 4	Black
Male	30	PHS	Category 2	White
Male	15	HS	Category 3	White
